location,area,details,price,agent,agency,link,rooms,bathroom,parking
"Taman Setapak, Ibu Kota, Gombak, Setapak","Setapak, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,400 sq. ft.  •  Partly furnished","RM 990,000",Bernice Wong,E Trend Realty - Kepong,https://www.iproperty.com.my/property/setapak/sale-104329673/,4,2,3
"Desa Setapak, Wangsa Maju, Setapak, Wangsa Maju","Wangsa Maju, Kuala Lumpur","2.5-sty Terrace/Link House | Intermediate  •  Built-up : 1,100 sq. ft.  •  Unfurnished","RM 420,000",Bernice Wong,E Trend Realty - Kepong,https://www.iproperty.com.my/property/wangsa-maju/sale-102691830/,3,3,2
"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,663 sq. ft.  •  Partly furnished","RM 850,000",Elsis Liew,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/le-yuan-residence/sale-103847715/,3+2,4,2
"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,782 sq. ft.  •  Fully furnished","RM 950,000",Elsis Liew,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/le-yuan-residence/sale-104111069/,3+1,4,2
"The Plaza Condominium @ TTDI, Taman Tun Dr Ismail","Taman Tun Dr Ismail, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,826 sq. ft.  •  Partly furnished","RM 1,500,000",Angie Chai,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/taman-tun-dr-ismail/the-plaza-condominium-ttdi/sale-103905988/,3+1,4,2
"M Astra, Setapak","Setapak, Kuala Lumpur",Serviced Residence  •  Built-up : 850 sq. ft.,"RM 389,000",Joyce Yap,Duxton Property Sdn Bhd,https://www.iproperty.com.my/property/setapak/m-astra/sale-104446489/,3,2,2
"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,164 sq. ft.  •  Fully furnished","RM 690,000",Elsis Liew,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/le-yuan-residence/ol-sale-104504097/,2,2,2
"Kiaraville, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,403 sq. ft.  •  Partly furnished","RM 1,600,000",David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/kiaraville/sale-103189628/,4,4,3
"Kiara Designer Suites, Mont Kiara","Mont Kiara, Kuala Lumpur","Serviced Residence  •  Built-up : 1,259 sq. ft.  •  Fully furnished","RM 680,000",David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/kiara-designer-suites/sale-103189198/,3,2,2
"i-Zen @ Kiara 1, Mont Kiara","Mont Kiara, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,400 sq. ft.  •  Fully furnished","RM 900,000",David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/i-zen-kiara-1/sale-103291567/,3+1,2,2
"Seni Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,110 sq. ft.  •  Fully furnished","RM 1,750,000",David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/seni-mont-kiara/sale-104163558/,3+1,4,2
"Kiara 9 Residency, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,661 sq. ft.  •  Fully furnished","RM 1,050,000",David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/kiara-9-residency/sale-103414940/,3+1,3,2
"Kiara 1888, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,636 sq. ft.  •  Partly furnished","RM 848,000",David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/kiara-1888/sale-104489443/,3+1,3,2
"Casaman, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House  •  Built-up : 4,500 sq. ft.  •  Partly furnished","RM 5,380,000",Carol Yong,Cornerstone Xstate Sdn Bhd - Listing Jacket,https://www.iproperty.com.my/property/desa-park-city/sale-103763110/,4+1,5,4
