details
"Condominium | Corner lot  •  Built-up : 1,830 sq. ft.  •  Fully furnished"
"Condominium | Corner lot  •  Built-up : 1,780 sq. ft.  •  Partly furnished"
"Condominium | Intermediate  •  Built-up : 1,400 sq. ft.  •  Fully furnished"
"2-sty Terrace/Link House | End lot  •  Built-up : 2,398 sq. ft.  •  Partly furnished"
"Condominium | Corner lot  •  Built-up : 3,841 sq. ft.  •  Partly furnished"
"Semi-detached House | Corner lot  •  Built-up : 3,800 sq. ft.  •  Partly furnished"
"Bungalow | Intermediate  •  Built-up : 4,500 sq. ft.  •  Partly furnished"
"2-sty Terrace/Link House | Intermediate  •  Built-up : 2,000 sq. ft.  •  Unfurnished"
"Serviced Residence  •  Built-up : 1,208 sq. ft.  •  Fully furnished"
Apartment | Intermediate  •  Built-up : 818 sq. ft.  •  Unfurnished
"3.5-sty Terrace/Link House | Intermediate  •  Built-up : 6,600 sq. ft.  •  Partly furnished"
"Condominium | Corner lot  •  Built-up : 1,378 sq. ft.  •  Partly furnished"
"Condominium | Intermediate  •  Built-up : 1,228 sq. ft.  •  Partly furnished"
"Condominium | Corner lot  •  Built-up : 1,808 sq. ft.  •  Partly furnished"
"Bungalow  •  Built-up : 11,000 sq. ft."
"Condominium | Corner lot  •  Built-up : 3,046 sq. ft."
"Condominium | Corner lot  •  Built-up : 1,797 sq. ft.  •  Partly furnished"
"Condominium | Corner lot  •  Built-up : 1,777 sq. ft.  •  Partly furnished"
"3-sty Terrace/Link House | Corner lot  •  Built-up : 2,487 sq. ft.  •  Partly furnished"
"Condominium | Corner lot  •  Built-up : 2,476 sq. ft."
"Condominium | Corner lot  •  Built-up : 1,777 sq. ft.  •  Partly furnished"
"Condominium | Corner lot  •  Built-up : 2,217 sq. ft.  •  Partly furnished"
Serviced Residence  •  Built-up : 977 sq. ft.  •  Partly furnished
Serviced Residence  •  Built-up : 948 sq. ft.  •  Fully furnished
Serviced Residence  •  Built-up : 948 sq. ft.  •  Fully furnished
"Condominium  •  Built-up : 1,109 sq. ft.  •  Partly furnished"
"3-sty Terrace/Link House | End lot  •  Built-up : 1,917 sq. ft.  •  Partly furnished"
"Condominium | Corner lot  •  Built-up : 1,184 sq. ft.  •  Partly furnished"
"Condominium  •  Built-up : 1,894 sq. ft.  •  Partly furnished"
Serviced Residence  •  Built-up : 876 sq. ft.  •  Partly furnished
"Serviced Residence | Intermediate  •  Built-up : 3,300 sq. ft.  •  Partly furnished"
"Semi-detached House | Intermediate  •  Built-up : 3,000 sq. ft.  •  Partly furnished"
"Serviced Residence | Intermediate  •  Built-up : 1,259 sq. ft.  •  Partly furnished"
"Serviced Residence | Intermediate  •  Built-up : 1,165 sq. ft.  •  Partly furnished"
"Condominium | Intermediate  •  Built-up : 1,031 sq. ft.  •  Partly furnished"
Condominium  •  Built-up : 798 sq. ft.
Condominium  •  Built-up : 780 sq. ft.
"Condominium | Duplex  •  Built-up : 3,248 sq. ft.  •  Partly furnished"
"Condominium  •  Built-up : 1,467 sq. ft.  •  Unfurnished"
"Condominium  •  Built-up : 1,093 sq. ft.  •  Partly furnished"
"3-sty Terrace/Link House | Intermediate  •  Built-up : 3,000 sq. ft.  •  Partly furnished"
Serviced Residence  •  Built-up : 903 sq. ft.  •  Partly furnished
"Condominium | Corner lot  •  Built-up : 4,123 sq. ft.  •  Partly furnished"
"Condominium | Corner lot  •  Built-up : 1,782 sq. ft.  •  Partly furnished"
"Semi-detached House | Intermediate  •  Built-up : 4,000 sq. ft.  •  Partly furnished"
"2-sty Terrace/Link House | Intermediate  •  Built-up : 2,600 sq. ft.  •  Partly furnished"
"Bungalow  •  Built-up : 7,317 sq. ft.  •  Partly furnished"
Serviced Residence | Corner lot  •  Built-up : 441 sq. ft.  •  Fully furnished
"Serviced Residence  •  Built-up : 1,098 sq. ft."
"Serviced Residence  •  Built-up : 3,900 sq. ft.  •  Fully furnished"
"2-sty Terrace/Link House | Intermediate  •  Built-up : 2,900 sq. ft.  •  Partly furnished"
"Serviced Residence  •  Built-up : 1,076 sq. ft.  •  Unfurnished"
"3-sty Terrace/Link House | End lot  •  Built-up : 1,902 sq. ft.  •  Partly furnished"
"3-sty Terrace/Link House | Corner lot  •  Built-up : 2,200 sq. ft.  •  Fully furnished"
Serviced Residence | Intermediate  •  Built-up : 689 sq. ft.  •  Fully furnished
"2-sty Terrace/Link House | End lot  •  Built-up : 2,560 sq. ft.  •  Partly furnished"
"2-sty Terrace/Link House | Intermediate  •  Built-up : 1,870 sq. ft.  •  Unfurnished"
"Condominium  •  Built-up : 2,217 sq. ft."
"Bungalow  •  Built-up : 11,000 sq. ft."
"Condominium  •  Built-up : 1,015 sq. ft.  •  Unfurnished"
Serviced Residence | Corner lot  •  Built-up : 711 sq. ft.  •  Partly furnished
"Condominium  •  Built-up : 1,374 sq. ft.  •  Fully furnished"
"2-sty Terrace/Link House | Corner lot  •  Built-up : 3,079 sq. ft.  •  Partly furnished"
"2-sty Terrace/Link House  •  Built-up : 3,000 sq. ft."
"Serviced Residence | Corner lot  •  Built-up : 2,960 sq. ft.  •  Partly furnished"
"Bungalow  •  Built-up : 5,214 sq. ft."
Serviced Residence  •  Built-up : 777 sq. ft.  •  Fully furnished
"Serviced Residence  •  Built-up : 1,087 sq. ft."
"Condominium  •  Built-up : 2,535 sq. ft."
"Condominium | Corner lot  •  Built-up : 2,319 sq. ft.  •  Partly furnished"
"3-sty Terrace/Link House | Intermediate  •  Built-up : 3,674 sq. ft.  •  Unfurnished"
"2-sty Terrace/Link House  •  Built-up : 2,350 sq. ft.  •  Partly furnished"
"2-sty Terrace/Link House  •  Built-up : 2,700 sq. ft.  •  Partly furnished"
"3-sty Terrace/Link House | Intermediate  •  Built-up : 3,600 sq. ft.  •  Unfurnished"
"3-sty Terrace/Link House  •  Built-up : 3,480 sq. ft.  •  Partly furnished"
"Serviced Residence  •  Built-up : 1,345 sq. ft.  •  Partly furnished"
Serviced Residence  •  Built-up : 850 sq. ft.  •  Partly furnished
"Condominium  •  Built-up : 3,218 sq. ft.  •  Fully furnished"
"1-sty Terrace/Link House  •  Built-up : 2,250 sq. ft."
"Condominium | Corner lot  •  Built-up : 3,316 sq. ft.  •  Fully furnished"
"Condominium | Corner lot  •  Built-up : 1,600 sq. ft.  •  Fully furnished"
"Condominium | Penthouse  •  Built-up : 6,383 sq. ft.  •  Fully furnished"
